"X","FIPS","STNAME","CTYNAME","RNETMIG2013","RNETMIG2014","RNETMIG2015","RNETMIG2016","elec12","elec16","elec18","elect14to16","medAge16","medAge12","pct_for_born15","pct_bach_deg15","pct_non_white15","pct_unemp12","pct_unemp16","votes_gop_16","votes_dem_16","votes_total_16","repratio","State...County.Name","Poverty","MedianIncome"
139,19015,"Iowa","Boone County",5.2639609399,1.2930952517,5.7631424292,-0.226933187,-6.712555271,12.0932654338,-1.707041948,1.4464841975,41.5,41.4,0.83,23.24,2.81,3.8,2.6,7458,5517,13984,53.3323798627002,"Boone County (IA)",9.2,"$60,421"
140,19017,"Iowa","Bremer County",2.4047769467,1.2591389115,1.5383058395,-2.425369364,4.9221647821,2.7768523337,5.3918596845,-2.547221517,39.5,39.4,1.39,28.59,3.27,3.4,3.6,7199,5349,13350,53.9250936329588,"Bremer County (IA)",6.7,"$65,733"
141,19019,"Iowa","Buchanan County",-1.617738022,1.8495245773,-4.401950111,-8.734246315,-6.206185008,-12.9044098707,2.3269490422,-7.2166876874,38.8,39.3,1.21,16.77,2.3,4.1,3.7,5504,3966,10137,54.2961428430502,"Buchanan County (IA)",10.1,"$57,228"
142,19021,"Iowa","Buena Vista County",-2.425594877,-8.768317791,-17.21825232,-8.648011203,-0.7139343985,-37.060176191,-37.66424707,-21.630934783,35.2,35.9,18.16,18.94,19,3.7,3.2,4895,2851,8179,59.8483922239883,"Buena Vista County (IA)",12.1,"$52,344"
143,19023,"Iowa","Butler County",1.9361730538,0.5343485957,-2.680156789,-9.529924639,6.0875603766,-9.7395597785,-3.344248181,-9.930686086,43.7,43.5,0.57,15.15,1.76,3.9,4,4918,2163,7457,65.9514550087166,"Butler County (IA)",9.8,"$54,970"
144,19025,"Iowa","Calhoun County",1.6151827175,-1.41815235,-1.832527361,3.7739698082,-17.484339765,2.1384728147,-5.739459341,1.8493344762,44.1,46.3,0.57,18.38,3.84,5.2,3.8,3466,1396,5105,67.8942213516161,"Calhoun County (IA)",12.4,"$50,767"
145,19027,"Iowa","Carroll County",-5.388741899,-2.826510721,-5.083461642,-3.039513678,-11.46656389,-16.33822794,-11.101863986,-6.109689117,41.6,42.3,0.92,20.08,2.93,3.4,2.7,6627,3305,10435,63.5074269286057,"Carroll County (IA)",8.8,"$56,292"
146,19029,"Iowa","Cass County",-7.848026991,-8.456659619,1.4212514493,-9.50728137,-10.262186409,-24.3907165307,-11.2133770494,-17.963940989,44.2,44.6,1.21,19.86,2.48,4.3,2.8,4755,1946,7055,67.3990077958894,"Cass County (IA)",12.8,"$47,897"
147,19031,"Iowa","Cedar County",-4.205007782,2.6772298866,-0.709684463,5.8826733482,-9.607147666,3.6452109898,11.0165539372,7.7949804101,43.1,42.9,0.97,21.54,2.74,4,2.8,5275,3578,9386,56.200724483273,"Cedar County (IA)",6.6,"$63,672"
148,19033,"Iowa","Cerro Gordo County",-3.347702467,-6.940841433,-4.084047848,4.6240894146,-9.087950191,-9.7485023334,-7.282385566,-2.9854709604,44,43.8,1.91,22.15,4.96,4.9,3.5,11583,9840,22633,51.1774842044802,"Cerro Gordo County (IA)",11.7,"$53,109"
149,19035,"Iowa","Cherokee County",-4.700944386,-4.730528806,-24.47507407,-3.844641531,-6.566986328,-37.751188793,-2.3711011776,-9.504381352,46.9,47.1,1.11,18.81,2.69,3.7,3.4,4188,1676,6186,67.7012609117362,"Cherokee County (IA)",10.9,"$53,534"
150,19037,"Iowa","Chickasaw County",0.1628863461,-2.773020145,-7.131439813,-4.619509177,-12.068112327,-14.3610827889,-14.879744738,-8.126564066,43.6,44.1,1.64,14.98,1.92,4.3,4,3739,2264,6367,58.7246741008324,"Chickasaw County (IA)",10.9,"$49,197"
151,19039,"Iowa","Clarke County",-12.48184215,-5.964969362,-0.869328987,3.0335861322,1.9286392218,-16.2825543668,12.5269840358,-3.3651991828,39.8,40,4.73,13.92,3.99,5.3,3,2706,1463,4405,61.4301929625426,"Clarke County (IA)",11.6,"$47,753"
152,19041,"Iowa","Clay County",-8.187028109,3.4016704632,0.606391365,-11.40487299,-5.002635593,-15.5838392708,-13.140973059,-8.3676672193,42.1,42.5,2.13,19.34,4.11,4.4,3.6,5870,2246,8542,68.7192694919223,"Clay County (IA)",9.1,"$53,549"
153,19043,"Iowa","Clayton County",-7.666265633,-2.586740145,-2.028283284,-3.278317884,-7.166968614,-15.559606946,-4.3750669266,-6.371159362,46.6,45.4,1.75,16.79,2.37,4.6,3.8,5309,3236,9098,58.3534842822598,"Clayton County (IA)",9.9,"$53,809"
154,19045,"Iowa","Clinton County",-9.136186931,-8.276751271,-7.878965676,-7.069151069,-10.119309454,-32.361054947,-15.214499832,-16.011369779,42.3,41.7,2.19,19.55,6.38,5.6,4.9,11249,10079,22748,49.4505011429576,"Clinton County (IA)",13.5,"$49,850"
155,19047,"Iowa","Crawford County",0.8654262224,-16.33078527,-7.354014066,-2.689036331,-2.1435262048,-25.5084094446,-7.357458517,-20.988781521,38.2,38,12.89,13.48,8.47,3.9,4.6,4608,1985,6862,67.1524336928009,"Crawford County (IA)",14.1,"$51,473"
156,19049,"Iowa","Dallas County",25.01630612,25.934221384,25.549381157,34.037907506,57.438335261,110.537816167,49.281680448,55.806935759,35.1,34.4,7.36,44.22,8.01,3.6,2.7,19288,15662,37617,51.2746896350055,"Dallas County (IA)",4.9,"$82,123"
157,19051,"Iowa","Davis County",3.5483317118,-7.305102157,-5.476013918,7.4745186863,-19.091412594,-1.7582656769,-7.444442719,0.169416529299999,37.4,38.7,0.62,16.78,1.49,5.1,5.3,2721,976,3858,70.5287713841369,"Davis County (IA)",12.9,"$49,636"
158,19053,"Iowa","Decatur County",-1.94469766,0,-10.64871481,-11.74507016,-19.566023451,-24.33848263,-22.594039255,-12.597481266,36.4,37,1.73,19.85,4.53,4,3,2296,1201,3703,62.0037807183365,"Decatur County (IA)",20,"$36,808"
159,19055,"Iowa","Delaware County",-6.793012901,-6.941456559,-2.817630315,-8.364821599,-14.778980568,-24.916921374,-15.660943734,-16.109421892,42.9,42.8,1.1,14.83,1.74,3.7,3.4,5688,2956,9165,62.0621931260229,"Delaware County (IA)",9.5,"$56,747"
160,19057,"Iowa","Des Moines County",4.0935309806,-7.554484232,-5.52831699,-7.073809284,-1.0203410979,-16.0630795254,-11.458509137,-15.274400721,42.1,41.8,1.5,20.03,9.11,5.7,4.7,9479,8178,18713,50.6546251269171,"Des Moines County (IA)",16.1,"$48,991"
161,19059,"Iowa","Dickinson County",1.301659616,1.1269944837,10.28216871,7.7385314378,18.8170474364,20.4493542475,7.6987826404,8.2130554309,47.8,48,0.84,27.45,2.26,4.8,3.5,6743,3051,10247,65.8046257441202,"Dickinson County (IA)",7.8,"$58,019"
162,19061,"Iowa","Dubuque County",5.5992506423,2.2138495518,1.354936468,-4.833063109,6.9082796773,4.3349735531,-4.467221593,-3.4922809861,38.4,38.7,2.48,28.7,6.38,3.8,3.1,23384,22774,49037,47.6864408507861,"Dubuque County (IA)",10.5,"$59,403"
